"concept"	"list"	"set.number"	"response.number"	"right.answer"	"x"	"n"	"p"	"lower"	"upper"	"p.value"
"hg07"	"L2"	6	3	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	7	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	7	2	FALSE	1	20	0.05	NA	NA	NA
"hg07"	"L2"	7	3	FALSE	1	20	0.05	NA	NA	NA
"hg07"	"L2"	8	1	TRUE	19	20	0.95	NA	NA	NA
"hg07"	"L2"	8	2	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	8	3	TRUE	17	20	0.85	NA	NA	NA
"hg07"	"L2"	8	4	FALSE	0	19	0	NA	NA	NA
"hg07"	"L2"	9	1	TRUE	19	20	0.95	NA	NA	NA
"hg07"	"L2"	9	2	FALSE	1	20	0.05	NA	NA	NA
"hg07"	"L2"	9	3	TRUE	18	19	0.947368421052632	NA	NA	NA
"hg07"	"L2"	9	4	TRUE	18	20	0.9	NA	NA	NA
"hg07"	"L2"	9	5	TRUE	18	20	0.9	NA	NA	NA
"hg07"	"L2"	10	1	FALSE	1	20	0.05	NA	NA	NA
"hg07"	"L2"	10	2	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	10	3	TRUE	19	20	0.95	NA	NA	NA
"hg07"	"L2"	11	1	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	11	2	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	11	3	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	11	4	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	12	1	FALSE	1	20	0.05	NA	NA	NA
"hg07"	"L2"	12	2	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	12	3	FALSE	0	20	0	NA	NA	NA
"hg07"	"L2"	13	1	TRUE	20	20	1	NA	NA	NA
"hg07"	"L2"	13	2	FALSE	0	19	0	NA	NA	NA
"hg07"	"L2"	13	3	TRUE	18	20	0.9	NA	NA	NA
"hg07"	"L2"	13	4	TRUE	18	20	0.9	NA	NA	NA
"hg07"	"L2"	14	1	TRUE	19	20	0.95	NA	NA	NA
"hg07"	"L2"	14	2	TRUE	19	20	0.95	NA	NA	NA
"hg07"	"L2"	14	3	TRUE	19	19	1	NA	NA	NA
